id	filename	md5	size	state
006e1522-cf0e-47e5-95e2-5e2de7c69033	006e1522-cf0e-47e5-95e2-5e2de7c69033/f6a99d72-7ef2-4c9c-880c-a26bd5fef9c7.htseq.counts.gz	0de4a45204c7fa7386331765a3ef383a	253511	validated
07b21ab7-9c14-4bf2-b692-3449e7c8daf0	07b21ab7-9c14-4bf2-b692-3449e7c8daf0/b004e38d-f48c-49f9-a027-4a702fbaf107.htseq.counts.gz	ddf94dcd2b37abefc36b5d42753bc3bd	245536	validated
1ca615f1-3c4b-434a-b0a4-78147d8514b3	1ca615f1-3c4b-434a-b0a4-78147d8514b3/37889f67-62a8-483b-97af-d8391806ede9.htseq.counts.gz	08fc2f77b3263235d850d22bf8b3a3c6	255613	validated
2a912951-aeb2-4695-96ee-9ea067ff4ccb	2a912951-aeb2-4695-96ee-9ea067ff4ccb/cbdf8c09-e3f4-4b3e-bdaa-f4a3a4e40068.htseq.counts.gz	c640df10d2d1af9a04705821b33c7957	258770	validated
342b23fe-2059-4a46-bc56-8ec72767d78b	342b23fe-2059-4a46-bc56-8ec72767d78b/19680925-a148-4f8a-af3b-9137746d663f.htseq.counts.gz	1fb7fa323f438065502a240a98fe3868	256245	validated
365c881b-9d44-4584-8781-dfe1306c4afa	365c881b-9d44-4584-8781-dfe1306c4afa/7f7121ff-1399-40da-a792-b7c31bc76570.htseq.counts.gz	753b14af473c8cbf3ffdaa504a3403ef	258509	validated
38c85503-bd80-4952-8726-657af216295e	38c85503-bd80-4952-8726-657af216295e/f5bb4817-1727-41f9-b7f6-3a4e1818c2df.htseq.counts.gz	f45b80f9007bbf35637b94d6eeb63d3d	257025	validated
3d92c204-11df-4c55-8460-d5f1e417b491	3d92c204-11df-4c55-8460-d5f1e417b491/da09dd77-0b91-4795-bd80-f90a9784b65c.htseq.counts.gz	e8d4048e7f0078dfcccafc7d39b87028	253327	validated
3de24774-a952-415f-992b-01d32054beec	3de24774-a952-415f-992b-01d32054beec/8223f42b-434d-4966-a123-3b8a947884bc.htseq.counts.gz	f78aff577caf01d377c6c03cd0f878b2	253385	validated
430332db-35e4-40f0-a56a-7b2dfa9a93fe	430332db-35e4-40f0-a56a-7b2dfa9a93fe/04be0c6b-c75f-40cf-82c0-c14af4f9e456.htseq.counts.gz	4b9da4a103e85b792e6e6646591cd6cf	249613	validated
45fc4e4b-281e-47b2-bfcc-957e8d3e8ca1	45fc4e4b-281e-47b2-bfcc-957e8d3e8ca1/89b84c10-956d-4ce6-8837-8d97db837d8c.htseq.counts.gz	dd442e2664030eae645edc59ee98483d	252876	validated
4ab9f4e8-beb7-4b43-b509-6109ba7acd0a	4ab9f4e8-beb7-4b43-b509-6109ba7acd0a/2fb19a94-bd55-4041-994a-082cd30746f3.htseq.counts.gz	d6927be4870515d887177ccb79427de0	239789	validated
4b7f43e2-26a2-46e7-a9f4-f3a411483d4f	4b7f43e2-26a2-46e7-a9f4-f3a411483d4f/d44d370d-d86e-4006-9530-ab3442cb2848.htseq.counts.gz	414a96f1beda60ea93655c746255cc45	255606	validated
4dd69e99-a085-4654-807a-49ee3827ca90	4dd69e99-a085-4654-807a-49ee3827ca90/a75c6098-ff48-43c2-b56d-6fa448ddebfb.htseq.counts.gz	5b66388466d7ea851224a52c59ddf944	249402	validated
5106edc8-0497-4c14-af8b-e888484c6bd9	5106edc8-0497-4c14-af8b-e888484c6bd9/2f7160fe-5f34-49bc-95fd-029ce83d8c42.htseq.counts.gz	f3b4703fd9d79b27a17e4fc4527ba3c1	254652	validated
515ce558-5c94-48c0-8169-2517da2f7170	515ce558-5c94-48c0-8169-2517da2f7170/6bdfd682-d5da-403d-b901-9d6fec360d3a.htseq.counts.gz	6ab4c49a54b03b06386c71922292228c	255759	validated
5278a216-f2e3-444b-9ac8-31c8c46c88f4	5278a216-f2e3-444b-9ac8-31c8c46c88f4/502fc9a8-6409-4b7a-a0f8-abed308ce84a.htseq.counts.gz	5886b84cb73c1e9abfc07c8404e3969c	255698	validated
5e5ad53d-2c5e-4e30-bb55-1749dbcdb270	5e5ad53d-2c5e-4e30-bb55-1749dbcdb270/8b4a22e2-e19a-4f8c-9f8f-a19f69fc8cbf.htseq.counts.gz	cdaa36743ed82dff0c11810cd59d01bf	245851	validated
5f322a49-5a2a-4800-8501-3a922aaf795d	5f322a49-5a2a-4800-8501-3a922aaf795d/bd7b2c7c-3a38-4a2b-b6eb-5f67572db883.htseq.counts.gz	27e078c523b95968cece0dae653bf9cd	255881	validated
60a32aeb-59e0-4f07-83bc-ae7f8a45390e	60a32aeb-59e0-4f07-83bc-ae7f8a45390e/2556ce90-db5f-4beb-897a-db3cf556e054.htseq.counts.gz	79f4e71cb872846aea7cf67d32c29c5d	254612	validated
629fb40f-e97d-4bb8-8f59-0a71256211b1	629fb40f-e97d-4bb8-8f59-0a71256211b1/2a254376-7498-4c41-8c20-8b4bdd8369da.htseq.counts.gz	1386f7e176fee2909ce4a6446cf5afe8	254407	validated
6abe5e40-8775-4c31-9924-693b93200c51	6abe5e40-8775-4c31-9924-693b93200c51/742b41f9-faca-4bad-a2a5-5d40b8bf06ce.htseq.counts.gz	7f13b7fc55d1378dd0aa9ebad7bf9df2	254730	validated
6af9a9fc-9798-44ce-8a54-ca380408a389	6af9a9fc-9798-44ce-8a54-ca380408a389/844bbccc-8e4e-4c0a-ad29-0aa196f14c26.htseq.counts.gz	6513b94fa6395f344b228b8d2d79e84a	255628	validated
6e4f8a99-2a03-4c27-87ce-b5c016de151d	6e4f8a99-2a03-4c27-87ce-b5c016de151d/d6cdbf9a-1009-4ee1-b041-a3744f4166ac.htseq.counts.gz	60038ddf1f071bdc4f1ce1c3866ffb9f	254425	validated
71c61ca2-a94d-4978-bc40-76f33e130e84	71c61ca2-a94d-4978-bc40-76f33e130e84/6508275a-e712-424e-bdaf-b9e1b07b0f95.htseq.counts.gz	d66f606d1af50375022ae0bfe1422ab3	251345	validated
74ea00b6-be8d-4560-b73e-43edeadca223	74ea00b6-be8d-4560-b73e-43edeadca223/95b626ff-eb72-4539-b85b-2dea5a174fc2.htseq.counts.gz	cc635ecad58ec0bd546e75839f6f3984	257017	validated
768f5843-c7ce-41d3-b5fb-70a5f4161d11	768f5843-c7ce-41d3-b5fb-70a5f4161d11/0e30bd18-8e8b-4c52-aace-b5587c6df51a.htseq.counts.gz	63ce335b27ca9a696c5daeee81f7ffd2	249938	validated
7e26363a-e1ab-4156-bb02-c7e3c13a581b	7e26363a-e1ab-4156-bb02-c7e3c13a581b/820e3299-bd67-4ba8-a637-32d31205e120.htseq.counts.gz	42f5957a27f77cf82d96af707e877d6a	248659	validated
7f58b7ed-10c8-4b45-92ba-61aaa9904fe7	7f58b7ed-10c8-4b45-92ba-61aaa9904fe7/fe179a60-5e81-48c1-b437-7c38ed910ba8.htseq.counts.gz	f44556681df906eb9e3147990ba6fc64	255542	validated
85d43c32-cbd3-4c44-bddd-88174388cc66	85d43c32-cbd3-4c44-bddd-88174388cc66/eaff8d68-43f9-48bf-ad8b-8d0f452d3775.htseq.counts.gz	5f1f098da3f3dcbcf24df13c89eaba2c	255637	validated
85dc9c60-36c4-4ef8-a4be-babd34ed5581	85dc9c60-36c4-4ef8-a4be-babd34ed5581/e13a37ca-e668-4315-b156-f4eeb5814c05.htseq.counts.gz	e130a261c340f42c672bebeed807697c	251367	validated
867719fa-1bd0-4f57-9cd8-cc4b1b5881bb	867719fa-1bd0-4f57-9cd8-cc4b1b5881bb/cbc1bf1c-8ddd-424a-b95a-5ca231d94e63.htseq.counts.gz	54107c236d8a2faf0fe11288567139b9	256337	validated
8c76a418-c594-44e6-ad17-95a11745f7d6	8c76a418-c594-44e6-ad17-95a11745f7d6/284d5f4a-5b44-42f7-90e6-14a5250183aa.htseq.counts.gz	b5fbc5bf6dab5a6f5c95394b3db15352	253384	validated
92b34c13-82a6-462f-ad6e-4546cf4655bc	92b34c13-82a6-462f-ad6e-4546cf4655bc/b888bce3-6b9e-494b-b1e8-13714c8b5267.htseq.counts.gz	1b4cbb5cd663901bc187e1361e68daf9	254017	validated
93d2f741-5fa7-447f-beab-da1876e2130e	93d2f741-5fa7-447f-beab-da1876e2130e/d90b02f3-4c68-40ec-9704-1d1d6706e402.htseq.counts.gz	dadfabaa288556176bf940160a9bc15c	256319	validated
9de762e9-edab-440e-91b0-c054b945a279	9de762e9-edab-440e-91b0-c054b945a279/95e82e2f-d87e-4785-9e8e-c6b41d8b73f0.htseq.counts.gz	eb0521286dbe1fbdb2654ae5fa6b017f	257026	validated
