Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
X16	0.0483153751625746	0	0.0254566880359863	0.0190231285452577	0	0.0845543363532321	0	0	0	0	0.0130217790269891	0	0.242215637534277	0	0.0018868321080752	0.551970046794694	0	0	0	0.0106874214005524	0	0.00286875503836108	9999	0.192456322211352	1.03182927351868
X17	0	0	0.00203808000375309	0	0	0.247298806178286	0	0.0477889114054098	0.00530467328590289	0	0.00675891051969272	0.0480589710456039	0.0377824803047332	0.21123539979034	0	0.259477132737345	0	0.000757001429442924	0.11296582127948	0	0.0042385109413566	0.0162953010786545	9999	0.0935894021849543	1.05519338214086
X18	0.0142395801720427	0	0	0.0656606133312963	0	0.183630805277801	0	0.0133802948584068	0	0	0.0646025312637844	0.032678058018536	0.171910693109427	0	0	0.351052880150875	0	0	0	0.0601859592116152	0	0.0426585846062161	9999	0.0309264810443126	1.08059859845238
X19	0.0750743748888938	0	0	0.0468648388281034	0	0.414651087223694	0	0	0.0268826160811753	0	0.0154207350117938	0.00859813386771391	0.0768299335069733	0.241678277961828	0.00485519447995457	0.0206961470103889	0	0	0.0684486611394809	0	0	0	9999	0.000243703199365971	1.10193870175449
X20	0.0750743748888938	0	0	0.0468648388281034	0	0.414651087223694	0	0	0.0268826160811753	0	0.0154207350117938	0.00859813386771391	0.0768299335069733	0.241678277961828	0.00485519447995457	0.0206961470103889	0	0	0.0684486611394809	0	0	0	9999	0.000243703199365971	1.10193870175449
X21	0.001911590423376	0.000692553559086045	0.0016752627715747	0	0	0.152600034972302	0	0.0195388390787949	0.0119175649560486	0.0653472029784671	0	0.0164218400590606	0	0.51048629919103	0.000517804904921447	0.191032047359261	0	0.00183623671141682	0	0.0210379414542023	0	0.00498478158045757	9999	0.162180497424064	1.07727011754044
X22	0.000743126110915777	0.00482490986838714	0	0	0	0.172664569386795	0	0.00315525154723983	0.0163384912414953	0	0.0363614761819364	0.0197464369807362	0.0172122174795941	0.219775630416698	0.0105158054225518	0.344637072743549	0	0.0185489908597704	0.128348388829685	0	0.00366301459011361	0.00346461834053291	9999	0.0816698572303644	1.06613523867231
X23	0	0.0059218780955182	0	0.00789615955077474	0	0.155598820344481	0	0	0	0	0.0432289982094224	0	0.291032276463504	0.0691185476335228	0	0.274691851698026	0	0.0134661054554055	0.103150971444018	0	0	0.0358943911053274	9999	0.0479455011880806	1.07509508012543
X24	0.000989981898199156	0.00856862549487267	0	0	0	0.230852993517012	0.00524262145976555	0.00362205607383529	0.0060469450081893	0	0.105256898265049	0	0.300452159528869	0.0114421475012742	0	0.237844902382004	0	0.0149083069656127	0.0708795904097358	0	0.000680846341164747	0.00321192515441601	9999	0.0118508314383284	1.08252170998672
X25	0.0228106258642798	0	0.00206181653596711	0.0551700915267835	0	0.164211852916054	0	0.0069792297617632	0	0	0.0265297636959249	0	0.0887856652477557	0	0.0509246062186013	0.54736064233962	0	0	0.0319120481722168	0	0.00163726794563663	0.00161638977539741	9999	0.0760932008658452	1.07112320489713
X26	0.0228106258642798	0	0.00206181653596711	0.0551700915267835	0	0.164211852916054	0	0.0069792297617632	0	0	0.0265297636959249	0	0.0887856652477557	0	0.0509246062186013	0.54736064233962	0	0	0.0319120481722168	0	0.00163726794563663	0.00161638977539741	9999	0.0760932008658452	1.07112320489713
X27	0.0228106258642798	0	0.00206181653596711	0.0551700915267835	0	0.164211852916054	0	0.0069792297617632	0	0	0.0265297636959249	0	0.0887856652477557	0	0.0509246062186013	0.54736064233962	0	0	0.0319120481722168	0	0.00163726794563663	0.00161638977539741	9999	0.0760932008658452	1.07112320489713
X28	0	0.00591402108814803	0	0	0	0.349923781496517	0	0	0	0	0.106840029693829	0	0.0471041253635626	0.0252244032005167	0.0472122579748931	0.230716204675459	0	0.00692827201795758	0.16447950481865	0	0.000343270357669061	0.0153141293127976	9999	0.0218081355419417	1.07315597341779
X29	0	0.0158683481351669	0.000840474170772976	0.0575467342268993	0	0.15903622903332	0	0.0137332927399846	0.00531791595914661	0	0.08858006149133	0	0.149831826534429	0	0.000335880721922178	0.467165469768098	0	0.0016550349176229	0	0.0277869645918461	0	0.0123017677094615	9999	0.0597173128495389	1.07409736029019
X30	0.00268456244010004	0.00617914103303901	0	0.0179884302571666	0	0.0842400081355119	0	0	0.0111918437182301	0	0.064193455950469	0	0.120237263653687	0.038179012127118	0.00234768829516006	0.606139292574082	0	0	0	0	0	0.0466193018154363	9999	0.119687633843185	1.07278585154505
X31	0.00665389481766895	0	0	0	0	0.184153359093622	0	0.0381096245656681	0	0	0	0.0654726929128378	0.00590930330766515	0	0.190063868354185	0.350844404089286	0.00410392224834351	0	0.154688930610724	0	0	0	9999	0.00983367560478285	1.10193976967851
X32	0.00537025727905848	0.00175845462072576	0.00490501581529041	0.0381013915911884	0	0.0809038439925364	0.00927937722311896	0.00761652657165333	0	0	0.0696087730610072	0	0.21406218860822	0.168502613621447	0.0184383683328835	0.145003666811992	0.013246804519271	0	0.185651020399813	0	0.00631569679027412	0.0312360007615205	9999	0.0669416277539956	1.05895978221422
X33	0.000132256618941485	0	0	0	0	0.245405430551525	0	0.00477923401954533	0.0151392263151217	0	0.0889423681771857	0.0482020792859164	0.0674986310930995	0.0652013623279541	0	0.34194528479591	0	0.0116354093849465	0.0934065682265208	0	0.00473267071071787	0.0129794784926165	9999	0.0360426721223908	1.0732772287145
X34	0.00134443621401783	0	0.00513547416031731	0	0.0443003615821597	0.27617692590022	0	0.0116129544617922	0	0	0.0750515057942606	0.0499129121434973	0.0905044696907882	0.014048589473868	0.000152587336331696	0.21187565487671	0	0.000269219218089045	0.200514779161742	0	0	0.0191001299862062	9999	0.00887612465495709	1.0811375155941
X35	0	0.0033856772678939	0	0	0	0.0598557097256923	0	0.00995600765212904	0.00274041765591767	0	0.0132487655101264	0	0	0.256150624359592	0	0.558829351732075	0	0.0173574825281076	0.0537830365346743	0	0	0.0246929270337916	9999	0.140238934336913	1.08542259753872
X36	0	0	0.0104108450832397	0.0488420719922882	0	0.127803056014095	0	0.0842147479250121	0	0	0.0623455960591163	0.0725784540010139	0.0936586613703033	0	0.0025578465041877	0.309039299203532	0	0.00966135040584583	0.156701525293828	0	0.0101304446547147	0.0120561014928242	9999	0.00694472101010007	1.0794424123551
X37	0.0103134716477793	0	0	0	0	0.256485947639828	0	0.0362682938594241	0.00998825299098082	0	0.060726498308009	0.0197222326880689	0.0402568184040814	0.0645326032875225	0.00502145810985763	0.40676080097834	0	0	0.0431459648395726	0	0	0.0467776572465358	9999	0.132524937897651	1.03819635770007
X38	0.0103134716477793	0	0	0	0	0.256485947639828	0	0.0362682938594241	0.00998825299098082	0	0.060726498308009	0.0197222326880689	0.0402568184040814	0.0645326032875225	0.00502145810985763	0.40676080097834	0	0	0.0431459648395726	0	0	0.0467776572465358	9999	0.132524937897651	1.03819635770007
X39	0.000467782139819616	0.00642209672520099	0	0	0	0.444172573566676	0	0.0334370052760325	0.00414156049215698	0	0.090197426204676	0.0374698693621637	0.0515931825936911	0.00563408224893106	0	0.284332388546721	0	0	0.0240018828037623	0	0	0.0181301500401695	9999	0.0344620770465121	1.09171312443472
X40	0	0.00710757220097587	0	0.0578020584272486	0	0.119923127225672	0	0.0537872673653551	0	0	0.0155628133881553	0.00461409981780389	0.0113827008777325	0.397580898092025	0.00234854222597796	0.329890920379054	0	0	0	0	0	0	9999	0.106900991423398	1.09463377202708
X41	0.000806831611256684	0	0.00175489112876613	0	0	0.257839140611524	0	0.041256675985697	0.0428230280008171	0	0.0270066591620551	0.0346905630149329	0.0328040768036766	0.288158805301997	0	0.224275488251548	0	0.0189177865735204	0.0197504801958489	0	0	0.00991557335836011	9999	0.0992334398684035	1.06539973000262
X42	0.0190660453521924	0	0	0.0436058835405117	0	0.13431868464251	0	0	0.00453481050816992	0	0.0716125479091883	0	0.188801732792627	0.0836466974129289	0.00112106282913773	0.426086288644232	0	0.00763018134944332	0	0.00821866677529469	0	0.0113573982437638	9999	0.0513895315927201	1.08243688229411
X43	0.00763212562869232	0	0	0	0	0.362181609567556	0	0.00719944854120434	0	0	0.040964051076443	0.0281265149375414	0.0543940796409556	0.182995902323633	0	0.196276371143395	0	0	0.106409502146897	0	0	0.0138203949936823	9999	0.0621131625108607	1.06557551918894
X44	0.00763212562869232	0	0	0	0	0.362181609567556	0	0.00719944854120434	0	0	0.040964051076443	0.0281265149375414	0.0543940796409556	0.182995902323633	0	0.196276371143395	0	0	0.106409502146897	0	0	0.0138203949936823	9999	0.0621131625108607	1.06557551918894
X45	0.00763212562869232	0	0	0	0	0.362181609567556	0	0.00719944854120434	0	0	0.040964051076443	0.0281265149375414	0.0543940796409556	0.182995902323633	0	0.196276371143395	0	0	0.106409502146897	0	0	0.0138203949936823	9999	0.0621131625108607	1.06557551918894
X46	0.00716078651151178	0	0.00251810221121173	0	0	0.140414581838284	0	0.00612666721476579	0.0350091125549876	0	0.000945097703045077	0.018372378049036	0.103136332946784	0.202946325456296	0.00193064157399483	0.349327140486591	0	0	0.0913230771243327	0	0	0.0407897563291587	9999	0.142190637239664	1.04297862450036
X47	0.00657974030677594	0	0.00112683538536587	0.0409209236429103	0	0.184123695778326	0	0.021377268462975	0.00814295735943219	0	0.0387443001665562	0.0485247523087467	0.107467530565471	0.0601602272561108	0.0576925216918672	0.265118447220137	0	0.0243585293590969	0.125561080477088	0	0	0.0101011900191408	9999	0.0411490694067877	1.06201882640409
X48	0.00657974030677594	0	0.00112683538536587	0.0409209236429103	0	0.184123695778326	0	0.021377268462975	0.00814295735943219	0	0.0387443001665562	0.0485247523087467	0.107467530565471	0.0601602272561108	0.0576925216918672	0.265118447220137	0	0.0243585293590969	0.125561080477088	0	0	0.0101011900191408	9999	0.0411490694067877	1.06201882640409
X49	0.00011048616191861	0.00942949769657476	0	0.00482551497758543	0	0.17524660012793	0.00683067881436115	0	0	0	0.149526513850161	0	0.222967652389227	0.0579884236309089	0	0.209292818950991	0	0.00466716026811958	0.0442402188735873	0	0	0.114874434258635	9999	0.0429755129917009	1.07977149198589
X50	0.00011048616191861	0.00942949769657476	0	0.00482551497758543	0	0.17524660012793	0.00683067881436115	0	0	0	0.149526513850161	0	0.222967652389227	0.0579884236309089	0	0.209292818950991	0	0.00466716026811958	0.0442402188735873	0	0	0.114874434258635	9999	0.0429755129917009	1.07977149198589
X51	0	0.00770930390753603	0	0.0754099825207957	0	0.280680823645969	0	0.0111177234416097	0.00210856032866573	0	0.0846806052854447	0	0.0678755286689607	0.0410942369952882	0.00067238982460129	0.379414371228512	0	0.00417819206732515	0.00532228155036832	0	0	0.039736000534924	9999	0.0420128725088572	1.08023683927006
X52	0.00637674148242775	0.0071505770908913	0	0	0	0.441101331686183	0	0.0376085530108428	0.00412475421111326	0	0	0.0268612602612487	0.0654518635827317	0.27929736947903	0	0.0929428254165693	0	0	0.0390847237789615	0	0	0	9999	0.0260935917815777	1.10032538990896
X53	0.00295133089706246	0.00101820264174563	2.68998231803035e-05	0	0	0.17467854163858	0	0.011703333865732	0.00384018758453167	0	0.0695753135360843	0	0.192578127840626	0	0	0.392834337232928	0	0.015124552718369	0	0.115689706317454	0.00214358857413073	0.0178358773295748	9999	0.0365248660566943	1.08129517048807
X54	0.000719566739188966	0.00336251622375957	0	0.0356065252135726	0	0.214131368130233	0	0.00612989622129023	0.00185344109170479	0	0	0.0185270999748572	0.0361874268093714	0.199373019279398	0	0.425063505233526	0	0.0303903665425894	0.0057927441228346	0	0	0.0228625244176741	9999	0.093459495491487	1.07431644158589
X55	0.00320362352963323	0	0.00069384689247655	0.00203718579592088	0.0302597626708487	0.0375690553222045	0	0	0.00199659602101302	0.00339816965475373	0	0.00776340354802627	0.000432922994634308	0.167998569389107	0.0104129476174851	0.509625598083636	0	0	0.177788750604899	0	0	0.0468195678753616	9999	0.0401868270732783	1.11018654894066
X56	0.045840628777948	0	0.0190878912665846	0.0214592695694708	0	0.0748200403254895	0	0.00798960420799472	0	0	0.0120072922349363	0.0101502841349188	0.140722087311124	0.0119385322492894	0.0219093754643411	0.544204881422761	0	0	0	0.0648094781006496	0.0232913725874559	0.00176926234703687	9999	0.112669359159277	1.06119679949411
X57	0	0	0	0	0	0.276487825130294	0	0.0404406579361984	0.0379434345491561	0	0	0.0350363650299199	0.0648420845118326	0.0464614380067111	0	0.347410366601144	0	0.00619341055136071	0.145184417683383	0	0	0	9999	0.0370718863231172	1.07178077144625
X58	0.000933297102362246	0	0.00133699711506731	0	0	0.212779517237473	0	0	0.00427303543090532	0	0.00435642493865655	0	0.292249388656969	0	0	0.299552058546896	0	0.00464807418146773	0.138301128461208	0	0	0.0415700783289953	9999	0.0297291945432328	1.08350470490289
X59	0	0	0.00473922900030743	0	0	0.212827010704523	0	0.0330507595503263	0	0	0.0782633460928579	0.00105504810800074	0.0789478559029969	0.0857474208583107	0	0.409909003576116	0	0	0	0.0213706931654166	0	0.0740896330411446	9999	0.0606011969755715	1.07512779676384
X60	0	0	0.00473922900030743	0	0	0.212827010704523	0	0.0330507595503263	0	0	0.0782633460928579	0.00105504810800074	0.0789478559029969	0.0857474208583107	0	0.409909003576116	0	0	0	0.0213706931654166	0	0.0740896330411446	9999	0.0606011969755715	1.07512779676384
